plan_id,run_id,node_id,temp_label,temperature,epoch,replicate,model_tag,exit_code,status
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-004014-113e6faa,runpod-mi300x,t0p1,0.0,6,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-005547-113e6faa,runpod-mi300x,t0p1,0.0,7,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-010451-113e6faa,runpod-mi300x,t0p1,0.0,8,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-011310-113e6faa,runpod-mi300x,t0p1,0.0,9,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-012110-113e6faa,runpod-mi300x,t0p1,0.0,10,1,qwen3.5:9b,1,failed
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-013005-113e6faa,runpod-mi300x,t0p1,0.0,11,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-013556-113e6faa,runpod-mi300x,t0p1,0.0,12,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-014249-113e6faa,runpod-mi300x,t0p1,0.0,13,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-015016-113e6faa,runpod-mi300x,t0p1,0.0,14,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-015642-113e6faa,runpod-mi300x,t0p1,0.0,15,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-020145-113e6faa,runpod-mi300x,t0p1,0.0,16,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-020605-113e6faa,runpod-mi300x,t0p1,0.0,17,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-021341-113e6faa,runpod-mi300x,t0p1,0.0,18,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-021849-113e6faa,runpod-mi300x,t0p1,0.0,19,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-022344-113e6faa,runpod-mi300x,t0p1,0.0,20,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-022932-113e6faa,runpod-mi300x,t0p1,0.0,21,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-023631-113e6faa,runpod-mi300x,t0p1,0.0,22,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-024102-113e6faa,runpod-mi300x,t0p1,0.0,23,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-025033-113e6faa,runpod-mi300x,t0p1,0.0,24,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-025722-113e6faa,runpod-mi300x,t0p1,0.0,25,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-030312-113e6faa,runpod-mi300x,t0p1,0.0,26,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-030905-113e6faa,runpod-mi300x,t0p1,0.0,27,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-031704-113e6faa,runpod-mi300x,t0p1,0.0,28,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-032315-113e6faa,runpod-mi300x,t0p1,0.0,29,1,qwen3.5:9b,0,ok
py_jp_10q_heavy_models_runpod_e30_20260310,20260311-032845-113e6faa,runpod-mi300x,t0p1,0.0,30,1,qwen3.5:9b,0,ok
